,ssn,smooth
1977-04,31.9,45.11762092547435
1977-05,34.7,49.630270054411746
1977-06,37.7,54.50899016622739
1977-07,41.4,59.739654569961395
1977-08,47.6,65.26183796735586
1977-09,55.8,70.9838416612611
1977-10,64.8,76.90080367394036
1977-11,73.7,82.99927120251837
1977-12,80.7,89.20834622872532
1978-01,86.9,95.48571357260812
1978-02,91.5,101.81436130385177
1978-03,98.7,108.2556282134511
1978-04,109.0,114.7361204013413
1978-05,117.8,121.0940947436766
1978-06,126.6,127.31032795887175
1978-07,138.0,133.46496780312893
1978-08,147.3,139.60962412020595
1978-09,153.6,145.7490590525677
1978-10,157.3,151.8246942544847
1978-11,160.4,157.68973693406363
1978-12,166.7,163.2632755952728
1979-01,175.2,168.64796086457858
1979-02,185.4,173.9497928418163
1979-03,193.3,179.0454300404387
1979-04,199.9,183.8930165227431
1979-05,208.5,188.59802326162406
1979-06,216.7,193.155977636905
1979-07,219.5,197.50081365747118
1979-08,220.1,201.54793590576168
1979-09,220.4,205.23586082963737
1979-10,223.4,208.5635201916901
1979-11,229.8,211.64844007388453
1979-12,232.9,214.52825837369
1980-01,232.0,217.08669695003908
1980-02,230.2,219.18238905806083
1980-03,227.9,220.7769380522206
1980-04,224.6,221.90966904608072
1980-05,221.3,222.61886387461368
1980-06,219.1,223.01370239106154
1980-07,216.1,223.12930664404416
1980-08,212.0,222.97239554735367
1980-09,211.5,222.60061897869195
1980-10,211.9,221.929576199278
1980-11,209.1,220.80275545350844
1980-12,202.8,219.13915040184364
1981-01,199.6,217.07809114960975
1981-02,202.2,214.77406279639249
1981-03,205.4,212.2590375879863
1981-04,205.7,209.56823740828276
1981-05,204.1,206.77543053961594
1981-06,200.9,203.8565267309002
1981-07,198.5,200.7583587081377
1981-08,199.9,197.41041781061853
1981-09,202.7,193.77779164379365
1981-10,201.4,189.98505965158068
1981-11,196.0,186.16185294265028
1981-12,194.1,182.40684370788753
1982-01,192.7,178.669744920886
1982-02,186.6,174.90632456447395
1982-03,180.0,171.15587780163256
1982-04,173.4,167.40002495882305
1982-05,167.5,163.5373733340039
1982-06,164.0,159.54020366395935
1982-07,161.5,155.38800479209777
1982-08,153.5,151.15503419358515
1982-09,141.4,146.9683372435526
1982-10,133.3,142.7948435082158
1982-11,131.3,138.5542754455191
1982-12,130.5,134.2317426246734
1983-01,127.9,129.8370738281874
1983-02,123.9,125.36930065392487
1983-03,117.1,120.86081465582159
1983-04,110.5,116.34767633405238
1983-05,104.5,111.79165377128079
1983-06,95.9,107.15463984426026
1983-07,89.1,102.5128438077204
1983-08,88.9,97.91065242350419
1983-09,91.7,93.32116507762478
1983-10,92.0,88.65759996006861
1983-11,89.7,84.00449258723363
1983-12,85.5,79.51128138571599
1984-01,80.5,75.17334897419487
1984-02,75.8,70.93999400988587
1984-03,71.2,66.79579693505919
1984-04,66.8,62.723141816005494
1984-05,63.5,58.7374232516366
1984-06,61.7,54.931238456548385
1984-07,58.3,51.38567363849807
1984-08,52.2,48.04119702491037
1984-09,44.3,44.81730644436817
1984-10,37.2,41.78181500524263
1984-11,31.6,38.951280387362054
1984-12,27.4,36.22689562222444
1985-01,25.2,33.58767533569713
1985-02,23.5,31.076713422853246
1985-03,21.7,28.67903459292256
1985-04,21.3,26.41089701991795
1985-05,21.4,24.33438825937278
1985-06,20.8,22.336509758898508
1985-07,19.9,20.323181750112937
1985-08,19.6,18.37606948534974
1985-09,19.8,16.552987570509174
1985-10,19.7,14.894024858983137
1985-11,19.1,13.434023860630377
1985-12,17.3,12.223271601857316
1986-01,15.2,11.30330454749698
1986-02,14.3,10.633914041831313
1986-03,14.3,10.13997903459324
1986-04,15.1,9.83302550791226
1986-05,15.8,9.806055009235068
1986-06,15.2,10.17596965007769
1986-07,15.1,11.059102480906855
1986-08,14.4,12.414825537862919
1986-09,13.5,14.253162282234758
1986-10,14.7,16.573154295413083
1986-11,16.6,19.34511555932771
1986-12,18.3,22.53727849049139
1987-01,19.9,26.068966205761296
1987-02,22.3,29.959252233815132
1987-03,25.5,34.33863125842466
1987-04,28.0,39.1699196326074
1987-05,30.3,44.249123945491306
1987-06,32.7,49.54546997454352
1987-07,36.2,55.00229121948952
1987-08,40.5,60.59188838416798
1987-09,45.3,66.30296011581095
1987-10,51.0,72.09923126840934
1987-11,55.1,77.92167423751047
1987-12,60.9,83.73224180103087
1988-01,69.2,89.56562671592147
1988-02,76.9,95.44670793191527
1988-03,84.9,101.31485049668358
1988-04,93.0,107.09475864823368
1988-05,101.4,112.8463485249373
1988-06,114.3,118.61161583387769
1988-07,128.5,124.37323416363381
1988-08,141.1,130.12254779614034
1988-09,151.2,135.80925472970014
1988-10,156.9,141.36712923676365
1988-11,164.4,146.78535915739477
1988-12,176.1,152.11209005141976
1989-01,184.8,157.37673338991146
1989-02,190.7,162.58916288125087
1989-03,198.0,167.77661358758562
1989-04,203.8,172.91130634453677
1989-05,209.5,177.97322418010822
1989-06,212.1,182.84884440673443
1989-07,212.0,187.41350272051685
1989-08,211.1,191.6427394798641
1989-09,210.5,195.55452503370034
1989-10,212.4,199.19639594669403
1989-11,212.5,202.54432186892245
1989-12,206.2,205.52202865272932
1990-01,201.2,208.0789447411834
1990-02,202.4,210.16018569361196
1990-03,200.9,211.73375430540247
1990-04,198.1,212.81293865123197
1990-05,195.1,213.4166824739245
1990-06,192.0,213.5879798332816
1990-07,190.1,213.36173813208853
1990-08,191.6,212.7704487595532
1990-09,194.6,211.76291119653214
1990-10,195.2,210.30006988469665
1990-11,195.2,208.46963011032435
1990-12,197.8,206.32458443568746
1991-01,202.8,203.87689811811137
1991-02,204.4,201.1346178805033
1991-03,203.9,198.08831927320523
1991-04,203.8,194.8515649178914
1991-05,202.9,191.4945639694562
1991-06,202.8,187.99279688514522
1991-07,203.5,184.3138421604409
1991-08,203.3,180.41904856986523
1991-09,200.9,176.4077422253336
1991-10,196.7,172.43942994060328
1991-11,191.4,168.45901262916698
1991-12,183.1,164.38814456147858
1992-01,172.6,160.29197324415205
1992-02,161.1,156.18188488993636
1992-03,151.8,152.09731443119318
1992-04,146.0,148.01475565317676
1992-05,142.1,143.8866620076917
1992-06,137.1,139.70070383867048
1992-07,128.5,135.49198821944205
1992-08,119.3,131.31778565367546
1992-09,113.0,127.13797234563359
1992-10,109.0,122.81460090850473
1992-11,106.3,118.38976688464396
1992-12,104.5,114.0185543852678
1993-01,101.9,109.6273898068221
1993-02,99.3,105.1728947237091
1993-03,95.4,100.64916387960173
1993-04,90.2,96.054894424203
1993-05,84.2,91.41813507712551
1993-06,78.6,86.83521689213063
1993-07,76.5,82.38832925672891
1993-08,73.6,78.02349623122088
1993-09,68.3,73.71903359457121
1993-10,63.2,69.57183147806332
1993-11,58.4,65.66191284380973
1993-12,55.1,61.93866620077062
1994-01,52.6,58.36396445864502
1994-02,50.2,54.95274297409442
1994-03,49.4,51.7194529027121
1994-04,49.6,48.71674736684619
1994-05,48.7,45.972665102582155
1994-06,46.4,43.43915040183829
1994-07,42.7,41.07886986472447
1994-08,40.1,38.8976289122959
1994-09,39.7,36.87178156042643
1994-10,39.4,34.92872260769837
1994-11,38.7,33.01359756402038
1994-12,37.6,31.062686567165137
1995-01,35.6,29.111995207907842
1995-02,33.7,27.260734787601294
1995-03,32.0,25.539879199321902
1995-04,29.4,23.904098237908183
1995-05,27.3,22.266674986273333
1995-06,25.9,20.622398043229303
1995-07,24.4,19.072515349673623
1995-08,22.0,17.692167922927716
1995-09,19.0,16.500643937503625
1995-10,17.0,15.532236809265191
1995-11,15.9,14.792357609944048
1995-12,15.1,14.302136474816995
1996-01,14.5,14.054365297259956
1996-02,14.2,13.962636649528713
1996-03,13.7,13.91971247441764
1996-04,12.0,13.941721160086294
1996-05,11.2,14.198088154545442
1996-06,11.6,14.760914491090162
1996-07,11.3,15.496885139520273
1996-08,11.2,16.294713722358615
1996-09,11.3,17.244052313682953
1996-10,12.0,18.409065042680144
1996-11,13.4,19.733439824290528
1996-12,14.3,21.160120800679532
1997-01,14.5,22.71014326361574
1997-02,15.2,24.5064643338499
1997-03,18.3,26.62960614985356
1997-04,22.0,28.985274297410164
1997-05,24.4,31.477257525084585
1997-06,27.2,34.138596316079514
1997-07,30.4,37.07075824889047
1997-08,33.6,40.33074926371611
1997-09,38.2,43.84329356561808
1997-10,43.1,47.54705735536511
1997-11,47.1,51.46826236709587
1997-12,52.0,55.638241900865275
1998-01,58.4,60.01821494534201
1998-02,65.4,64.52878750062594
1998-03,72.0,69.11523486247903
1998-04,76.9,73.85561822992287
1998-05,80.8,78.74398242899457
1998-06,85.4,83.54699246243952
1998-07,89.8,88.17526581141387
1998-08,93.5,92.70145260320754
1998-09,96.4,97.12141466580438
1998-10,98.2,101.41726651026117
1998-11,102.3,105.60748764538835
1998-12,110.4,109.74582438976023
1999-01,118.4,113.83737832576597
1999-02,122.5,117.77773673439184
1999-03,122.3,121.66336045525253
1999-04,125.0,125.50596016573036
1999-05,132.6,129.19365047671738
1999-06,136.3,132.79521789048474
1999-07,138.1,136.34122198373097
1999-08,142.9,139.80293515699526
1999-09,150.5,143.20029950581977
1999-10,159.3,146.51666749863173
1999-11,164.1,149.7199520790741
1999-12,164.0,152.78425597764152
2000-01,166.1,155.7304148155591
2000-02,170.6,158.59975540358892
2000-03,174.3,161.26697948385655
2000-04,175.2,163.66554684770628
2000-05,172.9,165.8418309788899
2000-06,172.7,167.84835022213858
2000-07,174.2,169.6935007238109
2000-08,172.8,171.3303449308693
2000-09,168.8,172.73911046773352
2000-10,165.3,173.94000399341616
2000-11,163.1,174.90813158289356
2000-12,162.7,175.6240203664008
2001-01,158.3,176.1283482254334
2001-02,152.5,176.38108121599893
2001-03,155.1,176.37860030949471
2001-04,160.7,176.16605101582925
2001-05,163.7,175.73491738631793
2001-06,167.4,175.06161832976125
2001-07,172.0,174.10979883193264
2001-08,175.8,172.84327859033124
2001-09,177.1,171.34006888634275
2001-10,177.3,169.70373383917055
2001-11,180.3,167.94543004043842
2001-12,179.1,166.01816003594573
2002-01,177.6,163.81843458294318
2002-02,179.7,161.39347576499267
2002-03,178.2,158.86462836320558
2002-04,174.4,156.1741776069533
2002-05,171.3,153.29491838466996
2002-06,166.9,150.30102331154052
2002-07,161.5,147.3256975989662
2002-08,155.4,144.4503569111011
2002-09,149.5,141.526111915344
2002-10,143.9,138.44868467029823
2002-11,136.0,135.34118204962226
2002-12,131.4,132.26770828133982
2003-01,129.6,129.18723106874052
2003-02,125.7,126.0564618379712
2003-03,118.7,122.85269804822418
2003-04,111.9,119.63697898467893
2003-05,107.0,116.45976638546753
2003-06,101.7,113.23878101133477
2003-07,96.0,109.87402286228058
2003-08,92.9,106.36037538062521
2003-09,91.8,102.76580641941112
2003-10,89.1,99.13601058254183
2003-11,86.9,95.33933509709271
2003-12,84.1,91.36015075126319
2004-01,80.1,87.44438676184564
2004-02,76.4,83.68472520341692
2004-03,73.2,80.00714820546344
2004-04,71.0,76.43949982529061
2004-05,69.5,73.03755802925397
2004-06,67.1,69.82040133779478
2004-07,64.8,66.75189936604806
2004-08,63.0,63.83611041781256
2004-09,60.2,61.14247990815341
2004-10,57.9,58.5828433085427
2004-11,56.6,56.16904607397964
2004-12,55.7,53.96485299256392
2005-01,54.5,51.89400988369349
2005-02,53.2,49.934617880498706
2005-03,52.3,48.11745619727596
2005-04,49.3,46.41277891479201
2005-05,45.0,44.787186142865636
2005-06,44.5,43.207577497131055
2005-07,44.6,41.66132381570536
2005-08,41.9,40.14411221484673
2005-09,39.4,38.615279788350406
2005-10,38.9,37.14321369740043
2005-11,38.4,35.77762192382678
2005-12,36.0,34.48204961813114
2006-01,33.0,33.18308790495784
2006-02,29.7,31.856546697949355
2006-03,27.4,30.536100434284364
2006-04,27.0,29.197539060550984
2006-05,27.4,27.826476314082615
2006-06,26.2,26.476518744073086
2006-07,25.0,25.19101981730222
2006-08,25.9,23.94205061648353
2006-09,26.0,22.733544651326
2006-10,23.7,21.53733839165443
2006-11,21.1,20.317281485549465
2006-12,20.2,19.076688464034927
2007-01,19.8,17.843478260870107
2007-02,19.0,16.65442020665952
2007-03,17.7,15.523476264164604
2007-04,16.4,14.42671591873453
2007-05,14.4,13.351559926122304
2007-06,12.8,12.308026755853218
2007-07,11.6,11.280532121999046
2007-08,9.9,10.283392402536132
2007-09,9.6,9.360804672291009
2007-10,9.9,8.54496580641967
2007-11,9.2,7.8182249288676084
2007-12,7.9,7.141521489542475
2008-01,6.6,6.493430839115661
2008-02,5.6,5.847117256526911
2008-03,5.1,5.202525832376739
2008-04,5.1,4.65266809763904
2008-05,5.4,4.222997054859613
2008-06,4.8,3.816832226825858
2008-07,4.0,3.3977387310938023
2008-08,3.8,3.009134927369935
2008-09,3.2,2.679968052713108
2008-10,2.4,2.41645285279297
2008-11,2.3,2.2895821893875876
2008-12,2.2,2.3356362002696294
2009-01,2.5,2.552628163530258
2009-02,2.7,2.950441771077815
2009-03,2.9,3.5246443368443168
2009-04,3.3,4.243942494883576
2009-05,3.5,5.115744022363263
2009-06,4.1,6.237902460939643
2009-07,5.5,7.6581839964061675
2009-08,7.4,9.32222333150331
2009-09,9.5,11.196415913742669
2009-10,10.9,13.246448360206063
2009-11,11.7,15.411855438526906
2009-12,12.7,17.685449009135468
2010-01,14.0,20.04031847451766
2010-02,16.1,22.437917436230915
2010-03,18.5,24.887405780463
2010-04,20.8,27.42102031647865
2010-05,23.1,30.01885888284422
2010-06,24.6,32.675839864225026
2010-07,25.2,35.3736834223542
2010-08,26.4,38.05991613837285
2010-09,29.5,40.687845055659395
2010-10,34.5,43.24970299006772
2010-11,39.1,45.730324963811114
2010-12,42.5,48.11316827235209
2011-01,45.7,50.48223930514805
2011-02,48.8,52.8976888134594
2011-03,53.8,55.33963959467048
2011-04,61.1,57.758768032747724
2011-05,69.3,60.15388109619311
2011-06,77.2,62.47615933709569
2011-07,83.6,64.75226875655366
2011-08,86.3,67.0437827584506
2011-09,86.6,69.33859631608058
2011-10,87.4,71.63466280637168
2011-11,89.4,73.98339739430165
2011-12,92.5,76.40205660660143
2012-01,95.5,78.82262267259263
2012-02,98.1,81.18424599411219
2012-03,98.3,83.46354515050422
2012-04,95.1,85.66192282733749
2012-05,90.9,87.78869864723475
2012-06,86.6,89.85847351869688
2012-07,84.5,91.84497578994939
2012-08,85.1,93.71241451605138
2012-09,85.3,95.46005091599153
2012-10,85.8,97.07182149453699
2012-11,87.7,98.50058902810662
2012-12,88.1,99.72933160285831
2013-01,86.8,100.78850396845512
2013-02,86.1,101.70494683772087
2013-03,84.4,102.47818100135088
2013-04,84.3,103.08177507113575
2013-05,87.0,103.45355163979748
2013-06,90.9,103.60505665651992
2013-07,94.6,103.58707632406845
2013-08,99.0,103.45357160685185
2013-09,104.6,103.20678879848565
2013-10,107.0,102.81567413767596
2013-11,106.9,102.26675984625679
2013-12,107.6,101.56717416263474
2014-01,109.3,100.74244496580948
2014-02,110.5,99.85921229970852
2014-03,114.3,98.9572006189817
2014-04,116.4,98.04145659661856
2014-05,115.0,97.11728647731539
2014-06,114.1,96.1078570358937
2014-07,112.6,94.96978485499216
2014-08,108.3,93.73174761643574
2014-09,101.9,92.41842959117739
2014-10,97.3,91.0681475565345
2014-11,94.7,89.69613637498401
2014-12,92.2,88.30360405331473
2015-01,89.3,86.8512304697276
2015-02,86.1,85.25427544551748
2015-03,82.1,83.46076972994813
2015-04,78.9,81.4732790895048
2015-05,76.1,79.34921878900057
2015-06,72.1,77.17133230170452
2015-07,68.3,74.91800029950811
2015-08,66.4,72.56046024060522
2015-09,65.9,70.14095242849513
2015-10,64.3,67.63462287226284
2015-11,61.2,65.01132631158787
2015-12,57.8,62.28609793840353
2016-01,54.4,59.429381520492996
2016-02,52.5,56.491124644338576
2016-03,50.4,53.55837368342397
2016-04,47.8,50.672759946090494
2016-05,44.8,47.844880946439844
2016-06,41.5,45.111595866821126
2016-07,38.5,42.52256277142844
2016-08,36.0,40.0304447661371
2016-09,33.2,37.58779513802342
2016-10,31.5,35.22320171716775
2016-11,29.9,32.97076324065393
2016-12,28.5,30.838501472571203
2017-01,27.8,28.906988469026988
2017-02,26.5,27.159501821994535
2017-03,25.7,25.519787350871848
2017-04,24.8,23.993390905007473
2017-05,23.3,22.573269105975832
2017-06,22.2,21.203693905057307
2017-07,21.0,19.824938850896626
2017-08,19.6,18.441746118904376
2017-09,18.3,17.28138072180954
2017-10,16.7,16.18798482503918
2017-11,15.4,15.152857784655783
2017-12,15.1,14.168082663605485
2018-01,14.2,13.212364598413025
2018-02,12.6,12.299910148255757
2018-03,9.9,11.437637897469525
2018-04,7.8,10.59494833524717
2018-05,7.5,9.77058353716398
2018-06,7.2,9.004562471921606
2018-07,7.0,8.3310138271854
2018-08,6.7,7.728423101882132
2018-09,6.5,7.161793041481776
2018-10,6.8,6.619732441471775
2018-11,6.7,6.096740378375867
2018-12,6.0,5.623141816003766
2019-01,5.4,5.193101382718674
2019-02,5.0,4.792672091049915
2019-03,4.6,4.408386162831463
2019-04,4.3,4.027549543253757
2019-05,3.9,3.6506015075127167
2019-06,3.7,3.2835072130984875
2019-07,3.5,2.9143662956123295
2019-08,3.4,2.5637498128089447
2019-09,3.1,2.231627814106793
2019-10,2.6,1.9205560824639933
2019-11,2.0,1.6456746368492499
2019-12,1.8,1.3930514650826569
2020-01,2.2,1.1731393201218352
2020-02,2.7,0.9835171966255989
2020-03,3.0,0.8092846802775671
2020-04,3.6,0.6574951330305201
2020-05,4.4,3.4357759696501855
2020-06,4.7,3.9995657165677874
2020-07,4.8,4.649113961962905
2020-08,5.1,5.381330804173281
2020-09,5.7,6.199261218988861
2020-10,6.2,7.127908950232337
2020-11,6.9,8.156411920331706
2020-12,7.8,9.266729895672427
2021-01,8.5,10.43257125742557
2021-02,9.3,11.659621624320229
2021-03,10.5,12.986132880747169
2021-04,11.6,14.412384565467422
2021-05,12.7,15.94048320271601
2021-06,14.4,17.56748365197478
2021-07,16.3,19.294364298907396
2021-08,18.2,21.13153796236275
2021-09,20.3,23.07098287825159
2021-10,22.5,25.093525682624445
2021-11,24.7,27.198787001448437
2021-12,27.1,29.386187790147158
2022-01,29.6,31.65049168871459
2022-02,32.1,33.98837917436334
2022-03,34.8,36.393645484950945
2022-04,37.4,38.864109219788524
2022-05,40.2,41.39300154744797
2022-06,43.0,43.97761693206344
2022-07,45.9,46.60554584935001
2022-08,48.7,49.26330554585084
2022-09,51.6,51.938741077224165
2022-10,54.6,54.631003843659634
2022-11,57.5,57.34711725652848
2022-12,60.4,60.08136075475649
2023-01,63.3,62.81877402286419
2023-02,66.2,65.56206259671742
2023-03,69.1,68.30540108820655
2023-04,72.0,71.0289622123518
2023-05,74.7,73.70369889682249
2023-06,77.5,76.32401537463419
2023-07,80.2,78.887425747519
2023-08,82.8,81.38286327559774
2023-09,85.4,83.80620975390862
2023-10,87.8,86.15408575850111
2023-11,90.2,88.41422652623442
2023-12,92.5,90.58100134777894
2024-01,94.7,92.65642689562503
2024-02,96.8,94.63192232816142
2024-03,98.8,96.50109319622916
2024-04,100.7,98.27212100035241
2024-05,102.5,99.94571956272458
2024-06,104.1,101.51863924524844
2024-07,105.7,102.99264214047138
2024-08,107.1,104.36795786951848
2024-09,108.4,105.64295911745941
2024-10,109.6,106.82106025058981
2024-11,110.7,107.9041731143646
2024-12,111.6,108.89238256876486
2025-01,112.4,109.79084510557915
2025-02,113.1,110.59842260270892
2025-03,113.6,111.32113512704376
2025-04,114.0,111.96112913692747
2025-05,114.3,112.52324165127881
2025-06,114.5,113.0081116158373
2025-07,114.6,113.42114511057102
2025-08,114.5,113.76837218589674
2025-09,114.3,114.05163480257923
2025-10,114.1,114.2751410173249
2025-11,113.6,114.44338840912843
2025-12,113.1,114.5611640792727
2026-01,112.5,114.6335446513288
